trunk + policy head warm started: 50 tensors
quantile head is FRESH (16 quantiles) - never warm started from policy logits (see QRSAC_SPEC.md item 2)
Loading environment chess failed: No module named 'kaggle_environments.envs.chess.chess'
Loading environment llm_20_questions failed: No module named 'kaggle_environments.envs.llm_20_questions.llm_20_questions'
Loading environment lux_ai_s2 failed: No module named 'kaggle_environments.envs.lux_ai_s2.lux_ai_s2'
Loading environment open_spiel_env failed: No module named 'pokerkit'
Loading environment werewolf failed: No module named 'pydantic'
iter 49/60: steps 400, buffer 60000, winrate 20%, eps 0.05, critic 0.1593, actor -0.6550, alpha 0.221, 137s
iter 50/60: steps 400, buffer 60000, winrate 30%, eps 0.05, critic 0.1673, actor -0.6242, alpha 0.213, 138s
iter 51/60: steps 400, buffer 60000, winrate 50%, eps 0.04, critic 0.1579, actor -0.6090, alpha 0.206, 130s
iter 52/60: steps 400, buffer 60000, winrate 10%, eps 0.04, critic 0.1483, actor -0.5931, alpha 0.198, 139s
iter 53/60: steps 400, buffer 60000, winrate 50%, eps 0.04, critic 0.1521, actor -0.5683, alpha 0.191, 142s
iter 54/60: steps 400, buffer 60000, winrate 30%, eps 0.04, critic 0.1552, actor -0.5504, alpha 0.185, 139s
iter 55/60: steps 400, buffer 60000, winrate 20%, eps 0.03, critic 0.1500, actor -0.5232, alpha 0.178, 130s
iter 56/60: steps 400, buffer 60000, winrate 20%, eps 0.03, critic 0.1434, actor -0.5099, alpha 0.172, 133s
iter 57/60: steps 400, buffer 60000, winrate 20%, eps 0.03, critic 0.1472, actor -0.4897, alpha 0.166, 138s
iter 58/60: steps 400, buffer 60000, winrate 30%, eps 0.03, critic 0.1435, actor -0.4704, alpha 0.160, 136s
iter 59/60: steps 400, buffer 60000, winrate 30%, eps 0.02, critic 0.1466, actor -0.4513, alpha 0.155, 140s
iter 60/60: steps 400, buffer 60000, winrate 40%, eps 0.02, critic 0.1419, actor -0.4247, alpha 0.149, 131s
exported track2_dmc/model_qrsac.npz (+ quantile head alongside)

CHECKPOINT:
  py tools/ab_test.py <variant_dir> track1_search/agent 30
