PURE RL: random initialisation, no behaviour cloning warm start
PURE RL: heuristic scorer disabled (ordering + fallback)
Loading environment chess failed: No module named 'kaggle_environments.envs.chess.chess'
Loading environment llm_20_questions failed: No module named 'kaggle_environments.envs.llm_20_questions.llm_20_questions'
Loading environment lux_ai_s2 failed: No module named 'kaggle_environments.envs.lux_ai_s2.lux_ai_s2'
Loading environment open_spiel_env failed: No module named 'pokerkit'
Loading environment werewolf failed: No module named 'pydantic'
iter 60/90: 1558 decisions, selfplay winrate 80%, loss 0.3837, steps 196, gate 0.508, 26s
iter 61/90: 1357 decisions, selfplay winrate 40%, loss 0.3253, steps 172, gate 0.496, 22s
iter 62/90: 1578 decisions, selfplay winrate 30%, loss 0.4155, steps 200, gate 0.491, 27s
iter 63/90: 1582 decisions, selfplay winrate 40%, loss 0.2603, steps 200, gate 0.499, 27s
iter 64/90: 1567 decisions, selfplay winrate 40%, loss 0.3738, steps 196, gate 0.488, 28s
iter 65/90: 1389 decisions, selfplay winrate 10%, loss 0.1352, steps 176, gate 0.494, 25s
iter 66/90: 1440 decisions, selfplay winrate 30%, loss 0.1374, steps 180, gate 0.497, 26s
iter 67/90: 1603 decisions, selfplay winrate 30%, loss 0.2047, steps 204, gate 0.495, 29s
iter 68/90: 1737 decisions, selfplay winrate 50%, loss 0.1320, steps 220, gate 0.502, 33s
iter 69/90: 1615 decisions, selfplay winrate 50%, loss 0.2553, steps 204, gate 0.495, 32s
iter 70/90: 1530 decisions, selfplay winrate 30%, loss 0.4144, steps 192, gate 0.516, 29s
iter 71/90: 1564 decisions, selfplay winrate 10%, loss 0.2949, steps 196, gate 0.502, 30s
iter 72/90: 1638 decisions, selfplay winrate 30%, loss 0.0338, steps 208, gate 0.501, 31s
iter 73/90: 1661 decisions, selfplay winrate 30%, loss 0.1309, steps 208, gate 0.500, 32s
iter 74/90: 1453 decisions, selfplay winrate 50%, loss 0.3490, steps 184, gate 0.497, 28s
iter 75/90: 1679 decisions, selfplay winrate 20%, loss 0.0687, steps 212, gate 0.494, 32s
iter 76/90: 1302 decisions, selfplay winrate 50%, loss 0.2496, steps 164, gate 0.491, 26s
iter 77/90: 1599 decisions, selfplay winrate 30%, loss 0.3450, steps 200, gate 0.512, 31s
iter 78/90: 1704 decisions, selfplay winrate 50%, loss 0.4593, steps 216, gate 0.495, 34s
iter 79/90: 1477 decisions, selfplay winrate 60%, loss 0.0758, steps 188, gate 0.504, 29s
iter 80/90: 1661 decisions, selfplay winrate 0%, loss 0.1535, steps 208, gate 0.506, 32s
iter 81/90: 1399 decisions, selfplay winrate 10%, loss 0.3647, steps 176, gate 0.499, 26s
iter 82/90: 1637 decisions, selfplay winrate 70%, loss 0.4837, steps 208, gate 0.484, 33s
iter 83/90: 1717 decisions, selfplay winrate 60%, loss 0.4503, steps 216, gate 0.510, 34s
iter 84/90: 1392 decisions, selfplay winrate 10%, loss 0.1927, steps 176, gate 0.504, 29s
iter 85/90: 1665 decisions, selfplay winrate 40%, loss 0.1170, steps 212, gate 0.493, 88s
iter 86/90: 1413 decisions, selfplay winrate 50%, loss 0.0532, steps 180, gate 0.502, 102s
iter 87/90: 1732 decisions, selfplay winrate 30%, loss 0.4340, steps 220, gate 0.507, 114s
iter 88/90: 1603 decisions, selfplay winrate 70%, loss 0.1943, steps 204, gate 0.503, 112s
iter 89/90: 1434 decisions, selfplay winrate 50%, loss 0.3349, steps 180, gate 0.500, 93s
iter 90/90: 1775 decisions, selfplay winrate 30%, loss 0.1240, steps 224, gate 0.498, 97s
exported track4_policygrad/model_dg_pure.npz

CHECKPOINT: compare raw policies head to head, e.g.
  py track4_policygrad/eval_policy.py --a track4_policygrad/model_dg.npz --b C:\Users\megha\OneDrive\Desktop\pokemon_benchmark\claude-tcg\track1_search\train\model_v4.npz --games 40
